Date,Store Location,Product Category,Product Name,Quantity Sold,Unit Price (₦),Total Sales (₦),Payment Method,Salesperson
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,12,1244.11,14929.32,,Dami
01/01/2025,Wuse,Household Items,Detergent,1000,486.88,486880,Transfer,Alice
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,-377.7,-500,Cash,Fatima
01/01/2025,Wuse,Uncategorised,Unknown Product,0,1761.54,100000,Cash,Unknown
01/01/2025,Wuse,Beverages,Pepsi,17,439.16,7465.72,POS,Cynthia
01/01/2025,Utako,Uncategorised,Unknown Product,11,1866.07,20526.77,POS,Chinedu
01/01/2025,Gwarinpa,Beverages,Fanta,1000,1894.04,1894040,POS,Alice
01/01/2025,Central Area,Snacks,Cake,19,-408.79,100000,Cash,Alice
01/01/2025,Gwarinpa,Household Items,Toilet Roll,0,-155.7,0,Transfer,Bola
01/01/2025,Wuse,Beverages,Coca-Cola,1000,265.66,265660,Transfer,Bola
01/01/2025,Gwarinpa,Household Items,Detergent,-1,429.46,0,Cash,Chinedu
01/01/2025,Garki,Snacks,Plantain Chips,0,1462.33,100000,Transfer,Alice
01/01/2025,Maitama,Beverages,Fanta,1000,1940.99,1940990,Cash,Bola
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,137.28,137280,Transfer,Unknown
01/01/2025,Central Area,Household Items,Toilet Roll,1,1268.19,1268.19,,Unknown
01/01/2025,Wuse,Uncategorised,Unknown Product,10,546.74,5467.4,,Fatima
01/01/2025,Central Area,Uncategorised,Unknown Product,14,1841.12,25775.68,,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,3,1466.07,4398.21,Cash,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,0,1820.32,-500,,Dami
01/01/2025,Utako,Uncategorised,Unknown Product,-1,1984.55,100000,,Cynthia
01/01/2025,Central Area,Snacks,Plantain Chips,13,-373.26,100000,Cash,Unknown
01/01/2025,Utako,Beverages,Pepsi,6,784.05,4704.3,POS,Alice
01/01/2025,Maitama,Household Items,Dish Soap,1000,573.5,573500,POS,Chinedu
01/01/2025,Maitama,Household Items,Hand Sanitizer,16,1835.59,29369.44,,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,0,-398.69,100000,,Bola
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,9,714.65,6431.85,Transfer,Alice
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,19,1223.68,23249.92,Transfer,Chinedu
01/01/2025,Wuse,Uncategorised,Unknown Product,5,1097.27,5486.35,Cash,Unknown
01/01/2025,Maitama,Uncategorised,Unknown Product,1000,1770.67,1770670,Cash,Fatima
01/01/2025,Central Area,Snacks,Biscuits,1000,1896.03,1896030,,Unknown
01/01/2025,Utako,Uncategorised,Unknown Product,1000,332.18,332180,POS,Unknown
01/01/2025,Wuse,Snacks,Cake,1,617.54,617.54,Cash,Cynthia
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,0,-133.41,0,,Chinedu
01/01/2025,Utako,Uncategorised,Unknown Product,14,1244.46,17422.44,Cash,Alice
01/01/2025,Maitama,Uncategorised,Unknown Product,20,1199.19,23983.8,Transfer,Chinedu
01/01/2025,Garki,Snacks,Plantain Chips,1,463.89,463.89,POS,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,-1,636.41,100000,,Dami
01/01/2025,Wuse,Uncategorised,Unknown Product,0,925.88,-500,Transfer,Emeka
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,154.62,154620,Transfer,Dami
01/01/2025,Wuse,Beverages,Fanta,1000,423.98,423980,Cash,Chinedu
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,760.62,760620,Transfer,Cynthia
01/01/2025,Gwarinpa,Snacks,Plantain Chips,13,1216.44,15813.72,Cash,Bola
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,14,561.55,7861.7,,Bola
01/01/2025,Central Area,Beverages,Fanta,-1,1785.22,-500,,Alice
01/01/2025,Central Area,Uncategorised,Unknown Product,3,1571.01,4713.03,,Fatima
01/01/2025,Central Area,Household Items,Air Freshener,,-407.13,100000,Cash,Alice
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,972.75,-500,Cash,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,0,1852.09,-500,,Alice
01/01/2025,Utako,Uncategorised,Unknown Product,1000,1960.65,1960650,POS,Alice
01/01/2025,Maitama,Uncategorised,Unknown Product,-1,631.51,-500,POS,Chinedu
01/01/2025,Garki,Household Items,Hand Sanitizer,0,876.42,0,,Unknown
01/01/2025,Wuse,Beverages,Water,1000,1168.42,1168420,,Dami
01/01/2025,Central Area,Household Items,Dish Soap,13,1046.13,13599.69,,Emeka
01/01/2025,Central Area,Beverages,Coca-Cola,-1,-169.34,100000,,Alice
01/01/2025,Garki,Uncategorised,Unknown Product,15,1726.88,25903.2,,Emeka
01/01/2025,Maitama,Uncategorised,Unknown Product,1000,-323.72,100000,POS,Unknown
01/01/2025,Wuse,Household Items,Detergent,7,1999.19,13994.33,POS,Unknown
01/01/2025,Wuse,Household Items,Toilet Roll,0,-276.78,-500,Cash,Alice
01/01/2025,Maitama,Household Items,Air Freshener,1000,-406.81,100000,Cash,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,-1,1362.8,100000,Cash,Fatima
01/01/2025,Wuse,Uncategorised,Unknown Product,-1,1970.36,0,Cash,Chinedu
01/01/2025,Wuse,Uncategorised,Unknown Product,6,950.68,5704.08,Transfer,Fatima
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,702.93,100000,POS,Cynthia
01/01/2025,Garki,Uncategorised,Unknown Product,4,-488,0,Cash,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,-1,1115.28,-500,Cash,Alice
01/01/2025,Wuse,Uncategorised,Unknown Product,0,-198.35,100000,,Bola
01/01/2025,Wuse,Snacks,Chin Chin,-1,1309.48,0,Cash,Cynthia
01/01/2025,Wuse,Household Items,Toilet Roll,0,1004.82,-500,POS,Dami
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,1631.26,1631260,,Bola
01/01/2025,Garki,Household Items,Toilet Roll,-1,-171.27,100000,Cash,Alice
01/01/2025,Gwarinpa,Household Items,Detergent,1000,1998.93,1998930,,Chinedu
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,-141.51,-500,Cash,Cynthia
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,1530.54,1530540,Transfer,Dami
01/01/2025,Garki,Beverages,Pepsi,0,-164.5,0,POS,Unknown
01/01/2025,Utako,Snacks,Biscuits,0,97.33,-500,POS,Cynthia
01/01/2025,Central Area,Beverages,Coca-Cola,1,-366.6,-500,,Emeka
01/01/2025,Garki,Household Items,Air Freshener,-1,-476.62,100000,POS,Unknown
01/01/2025,Maitama,Uncategorised,Unknown Product,16,752,12032,Cash,Cynthia
01/01/2025,Garki,Uncategorised,Unknown Product,1000,1217.87,1217870,Cash,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,759.27,0,,Fatima
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,1616.83,1616830,POS,Alice
01/01/2025,Central Area,Snacks,Chin Chin,0,-408.45,-500,Transfer,Alice
01/01/2025,Utako,Uncategorised,Unknown Product,1000,629.99,629990,Cash,Alice
01/01/2025,Wuse,Uncategorised,Unknown Product,2,832.88,1665.76,,Alice
01/01/2025,Garki,Snacks,Biscuits,1000,717.92,717920,,Fatima
01/01/2025,Gwarinpa,Beverages,Five Alive Juice,-1,1066.39,-500,,Emeka
01/01/2025,Wuse,Household Items,Air Freshener,0,364.85,-500,Cash,Emeka
01/01/2025,Central Area,Beverages,Coca-Cola,0,343.22,100000,,Alice
01/01/2025,Utako,Snacks,Meat Pie,1000,-169.77,0,,Dami
01/01/2025,Gwarinpa,Beverages,Fanta,1000,564.2,564200,POS,Emeka
01/01/2025,Wuse,Beverages,Fanta,20,46.86,937.2,Transfer,Emeka
01/01/2025,Gwarinpa,Snacks,Plantain Chips,-1,124.4,100000,POS,Dami
01/01/2025,Gwarinpa,Household Items,Air Freshener,10,1279.29,12792.9,Transfer,Alice
01/01/2025,Wuse,Beverages,Water,0,899.54,-500,Transfer,Bola
01/01/2025,Wuse,Beverages,Pepsi,-1,1620.87,100000,POS,Alice
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,17,335.62,5705.54,POS,Bola
01/01/2025,Central Area,Snacks,Biscuits,1000,1008.92,1008920,POS,Emeka
01/01/2025,Gwarinpa,Snacks,Cake,0,294.41,-500,Transfer,Cynthia
01/01/2025,Wuse,Beverages,Fanta,0,951.58,100000,Cash,Fatima
01/01/2025,Central Area,Household Items,Air Freshener,-1,196.81,-500,POS,Unknown
01/01/2025,Utako,Uncategorised,Unknown Product,15,501.13,7516.95,POS,Emeka
01/01/2025,Central Area,Snacks,Cake,-1,984.05,-500,Transfer,Bola
